Base Word;Translate (uzbek);Guideword;Level;Part of Speech;Topic;Details
thin;;NOT THICK;A2;adjective;describing things;Details
whole;;;A2;adjective;describing things;Details
wide;;DISTANCE;A2;adjective;describing things;Details
worse;;MORE UNPLEASANT;A2;adjective;describing things;Details
worst;;;A2;adjective;describing things;Details
across;;;A2;adverb;describing things;Details
anywhere;;ANY PLACE;A2;adverb;describing things;Details
around;;TO/IN A PLACE;A2;adverb;describing things;Details
away;;DISTANCE FROM;A2;adverb;describing things;Details
else;;IN ADDITION;A2;adverb;describing things;Details
less;;;A2;adverb;describing things;Details
most;;MORE;A2;adverb;describing things;Details
over;;MORE THAN;A2;adverb;describing things;Details
half;;PART;A2;noun;describing things;Details
another;;ADDITIONAL;A2;determiner;describing things;Details
several;;;A2;determiner;describing things;Details
against;;TOUCHING;A2;preposition;describing things;Details
next to;;;A2;preposition;describing things;Details
opposite;;;A2;preposition;describing things;Details
out of;;NO LONGER IN PLACE;A2;preposition;describing things;Details
through;;ONE SIDE TO ANOTHER;A2;preposition;describing things;Details
without;;NOT HAVING;A2;preposition;describing things;Details
everything;;;A2;pronoun;describing things;Details
nothing;;NOT ANYTHING;A2;pronoun;describing things;Details
a bit;;;A2;phrase;describing things;Details
the back;;;A2;phrase;describing things;Details
at least;;;A2;phrase;describing things;Details
not (too) bad;;;A2;phrase;describing things;Details
a few;;;A2;phrase;describing things;Details
in front of sth/sb;;;A2;phrase;describing things;Details
in front of sb/sth;;;A2;phrase;describing things;Details
a little bit;;;A2;phrase;describing things;Details
too much/so much;;;A2;phrase;describing things;Details
not bad;;;A2;phrase;describing things;Details
pale blue/green/yellow, etc.;;;A2;phrase;describing things;Details
quite a few/a lot;;;A2;phrase;describing things;Details
university;universitet;;A1;noun;education;Details
course;kurs;CLASSES;A1;noun;education;Details
learn;;GET KNOWLEDGE;A1;verb;education;Details
class;;LESSON;A1;noun;education;Details
homework;;;A1;noun;education;Details
test;;EXAM;A1;noun;education;Details
subject;;STUDY;A1;noun;education;Details
student;;;A1;noun;education;Details
lesson;;TEACHING PERIOD;A1;noun;education;Details
dictionary;;;A1;noun;education;Details
exam;;;A2;noun;education;Details
graduate;;;A2;noun;education;Details
examination;;TEST;A2;noun;education;Details
blackboard;;;A2;noun;education;Details
diploma;;;A2;noun;education;Details
exercise;;PRACTICE;A2;noun;education;Details
grade;;SCHOOL;A2;noun;education;Details
mark;;SCORE;A2;noun;education;Details
project;;SCHOOL WORK;A2;noun;education;Details
schedule;;SCHOOL/COLLEGE;A2;noun;education;Details
schoolchild;;;A2;noun;education;Details
semester;;;A2;noun;education;Details
chemistry;;;A2;noun;education;Details
gym;;CLASS;A2;noun;education;Details
history;;SUBJECT;A2;noun;education;Details
math;;;A2;noun;education;Details
physics;;;A2;noun;education;Details
science;;STUDY OF NATURAL THINGS;A2;noun;education;Details
college;;;A2;noun;education;Details
fail;;EXAM;A2;verb;education;Details
pass;;SUCCEED;A2;verb;education;Details
be born;;;A2;phrase;education;Details
a dance/language/riding, etc. school;;;A2;phrase;education;Details
cracker;kreker;;A1;noun;food and drink;Details
bean;loviya;;A1;noun;food and drink;Details
wine;vino;;A1;noun;food and drink;Details
beer;pivo;;A1;noun;food and drink;Details
butter;sariyog;;A1;noun;food and drink;Details
picnic;piknik;;A1;noun;food and drink;Details
café;kafe;;A1;noun;food and drink;Details
pizza;pitsa;;A1;noun;food and drink;Details
lunch;tushlik;;A1;noun;food and drink;Details
juice;sharbat;;A1;noun;food and drink;Details
soup;sho'rva;;A1;noun;food and drink;Details
salt;tuz;;A1;noun;food and drink;Details
plate;tarelka;;A1;noun;food and drink;Details
meal;ovqat;;A1;noun;food and drink;Details
knife;;;A1;noun;food and drink;Details
coffee shop;;;A1;noun;food and drink;Details
tomato;;;A1;noun;food and drink;Details
cup;;DRINKING CONTAINER;A1;noun;food and drink;Details
have;;EAT/DRINK;A1;verb;food and drink;Details
tea;;DRINK;A1;noun;food and drink;Details
potato;;;A1;noun;food and drink;Details
orange;;FRUIT;A1;noun;food and drink;Details
hungry;;;A1;adjective;food and drink;Details
ice cream;;;A1;noun;food and drink;Details
fruit;;;A1;noun;food and drink;Details
food;;;A1;noun;food and drink;Details
egg;;FOOD;A1;noun;food and drink;Details
drink;;LIQUID;A1;noun;food and drink;Details
dinner;;;A1;noun;food and drink;Details
coffee;;;A1;noun;food and drink;Details
cheese;;;A1;noun;food and drink;Details
cake;;FOOD;A1;noun;food and drink;Details
sweet;;TASTE;A1;adjective;food and drink;Details
chocolate;;FOOD;A1;noun;food and drink;Details
breakfast;;;A1;noun;food and drink;Details
banana;;;A1;noun;food and drink;Details
apple;;;A1;noun;food and drink;Details
sugar;;;A1;noun;food and drink;Details
rice;;;A1;noun;food and drink;Details
meat;;;A1;noun;food and drink;Details
milk;;;A1;noun;food and drink;Details
bread;;;A1;noun;food and drink;Details
